ID,# of RTs,HashTags,TweetIds,Date,Replier Ids,Retweeted Distinct Ids,Tweets,Urls in Tweet,Username,,
131,13,,7.96E+017,11/8/2016 22:32:00,,196659183,After her successful trip to India (100 pots of Marmite sold) Theresa May goes to Scotland and begs for a trade deal,,IamMisterMR,,
132,0,,7.96E+017,11/8/2016 22:36:00,7.96E+017,,@lesiachristina flipping Brexit I can't I'm still not over it ??,,JaneyMwaura_,,
133,849,,7.96E+017,11/8/2016 21:38:00,,7.12E+017,"NIGEL FARAGE: ""It Feels Like Brexit Day to Me"" (VIDEO)",http://www.thegatewaypundit.com/2016/11/nigel-farage-feeling-world-big-shock-tomorrow-morning-video/,ulf_blombergswe,,
134,0,,7.96E+017,11/8/2016 22:36:00,,,"To change the subject entirely, from elections, Brexit or Sturgeon, a graceful railway viaduct in Tunisia! ",,Longhouses1,,
135,1447,,7.96E+017,11/8/2016 20:13:00,,2231039899,"Democracy Institute, ONLY pollster to correctly guess Brexit, has Trump winning by 5.  Same as my prediction: ",,Smokester81,,
137,0,,7.96E+017,11/8/2016 22:36:00,,,Some of are politicians must be admirers of Hitler &amp, if they think they can stop brexit they'd better go &amp, find a b…,https://twitter.com/i/web/status/796119230831886336,tetley824
138,2,,7.96E+017,11/8/2016 22:27:00,,22041996,Government refuses to guarantee workers' rights after Brexit https://t.co/LGp4XLnFg4,http://www.independent.co.uk/news/uk/politics/brexit-workers-rights-take-over-firms-a7403051.html,mantd,,
139,1597,ElectionDay,7.96E+017,11/8/2016 15:38:00,,408060945,"BREXIT odds on morning of June 23:
1/4 REMAIN
3/1 LEAVE

Current #ElectionDay odds:
1/4 CLINTON
3/1 TRUMP",,CamBurnss,,
140,2643,Brexit,7.96E+017,11/6/2016 10:19:00,,2236244636,The referendum result must be respected. Leave means Leave: out of the single market. #Brexit https://t.co/vXrbj6oAKj,,mattgent2,,
141,1,,7.96E+017,11/8/2016 22:34:00,,1213993723,"I genuinely don't understand how you cannot be interested in even a speck of politics in this 2016. Brexit, Cameron out, US elections alone",,_damilolaa,,
142,349,ElectionNight,7.96E+017,11/8/2016 21:54:00,,462464286,"Brexit was a working class retaliation. You ignore people 4 too long &amp; they will eventually rise up!

America is Next ?TRUMP

",,RossVMaxwell,,
143,0,,7.96E+017,11/8/2016 22:36:00,7.96E+017,,"I saw that happen in 2015, and it's what is hugely responsible for Brexit today.",,GeorgeSeabrook,,
